Feature,Coefficient,Abs_Coefficient,Correlation_with_Target,Abs_Correlation
AC026367.2,-0.013120911413183212,0.013120911413183212,-0.19341890829663083,0.19341890829663083
HOXD11,-0.01306548481776647,0.01306548481776647,-0.20373399897111455,0.20373399897111455
SUMO2P19,-0.013043546883265195,0.013043546883265195,-0.2543406138594493,0.2543406138594493
DDX25,-0.013032801476847562,0.013032801476847562,-0.19641335734877904,0.19641335734877904
AC005534.1,0.013032027106279088,0.013032027106279088,0.19393969560198068,0.19393969560198068
RN7SL368P,-0.013026249916400902,0.013026249916400902,-0.21067002194033294,0.21067002194033294
RPL10P3,0.012997086750859598,0.012997086750859598,0.21290607889083699,0.21290607889083699
TMEM132C,0.012973483362759535,0.012973483362759535,-0.18209560099005132,0.18209560099005132
AL359711.2,-0.012968435222485798,0.012968435222485798,-0.1744770182507252,0.1744770182507252
MRAP2,-0.012948227806058232,0.012948227806058232,-0.16917257965050883,0.16917257965050883
TRIL,0.012900992495991973,0.012900992495991973,0.20247785353866157,0.20247785353866157
MTATP6P2,0.012885115892196302,0.012885115892196302,0.23818327159956623,0.23818327159956623
AC010319.3,-0.012859341572246177,0.012859341572246177,-0.1762048707416336,0.1762048707416336
THY1,0.012851089950090046,0.012851089950090046,-0.17203119362939162,0.17203119362939162
RNA5SP301,-0.012850744436841385,0.012850744436841385,-0.19308536657523218,0.19308536657523218
AL355385.1,-0.012826758980547784,0.012826758980547784,-0.27921368466484436,0.27921368466484436
RCAN1,0.012757763782957284,0.012757763782957284,0.16964272237654404,0.16964272237654404
HOXA2,0.012756245596146628,0.012756245596146628,-0.19686718460658356,0.19686718460658356
MDFIC,0.012683187851163348,0.012683187851163348,0.19601606126390742,0.19601606126390742
AC072052.1,0.012653003455852865,0.012653003455852865,-0.18427254959739228,0.18427254959739228
GJA3,0.012561376116811506,0.012561376116811506,0.17112361991860323,0.17112361991860323
AL138831.1,-0.012523186479531916,0.012523186479531916,-0.18606019206510263,0.18606019206510263
AAMDC,-0.012401893374579866,0.012401893374579866,-0.24073889031673018,0.24073889031673018
AC092718.5,0.012339677829600961,0.012339677829600961,0.18488141505903016,0.18488141505903016
AL353807.5,-0.01232973041575763,0.01232973041575763,-0.20365604354599998,0.20365604354599998
CLEC18A,-0.012316848754275312,0.012316848754275312,-0.23221846033796031,0.23221846033796031
COX7A2P2,0.012300638775880402,0.012300638775880402,0.22410476935698417,0.22410476935698417
HOXD4,-0.012246110762688372,0.012246110762688372,-0.17685929723170574,0.17685929723170574
AC089999.2,-0.012230520131627483,0.012230520131627483,-0.21281998741844732,0.21281998741844732
PIGY-DT,-0.012223457280298266,0.012223457280298266,-0.2947437578453626,0.2947437578453626
PYM1,-0.01214238795147462,0.01214238795147462,-0.1761958430898845,0.1761958430898845
ZNF396,0.012118466878664165,0.012118466878664165,0.20554038366249253,0.20554038366249253
ATP5MC3,0.012084017944312308,0.012084017944312308,0.2309729170830481,0.2309729170830481
CERS5,-0.01207794266360673,0.01207794266360673,-0.18678797410150078,0.18678797410150078
ROBO3,-0.012059457236333145,0.012059457236333145,-0.29134543851318695,0.29134543851318695
RRAD,0.01205405400359347,0.01205405400359347,-0.1706871469478397,0.1706871469478397
MIR6746,-0.012054042994195893,0.012054042994195893,-0.27721267536433203,0.27721267536433203
RRM2P3,0.012043355090341776,0.012043355090341776,0.2345832397454103,0.2345832397454103
ITGA4,0.012013828200471968,0.012013828200471968,0.17222086811119408,0.17222086811119408
AC087742.1,0.012006855039284203,0.012006855039284203,-0.1861600589804261,0.1861600589804261
KIAA1671,0.011996621713455387,0.011996621713455387,0.17835951207824627,0.17835951207824627
MXRA8,-0.01193137159577649,0.01193137159577649,-0.1739348439306081,0.1739348439306081
MIR6730,-0.011838002222608678,0.011838002222608678,-0.17553181256833905,0.17553181256833905
MIR6871,-0.011832124443109177,0.011832124443109177,-0.17108378737866345,0.17108378737866345
PTTG1,-0.011771361298672307,0.011771361298672307,-0.1708616403162465,0.1708616403162465
TCP11L2,0.011716789357031559,0.011716789357031559,0.1970134638943274,0.1970134638943274
FAHD2A,-0.011684808013348574,0.011684808013348574,-0.21495934726688118,0.21495934726688118
RFX3,0.011590729749610661,0.011590729749610661,0.19589664151424005,0.19589664151424005
RN7SL767P,-0.011579701443407751,0.011579701443407751,-0.24038559238751017,0.24038559238751017
FCRLB,-0.011518549317261942,0.011518549317261942,-0.20824509862027887,0.20824509862027887
NUTM2A-AS1,-0.011459807229086506,0.011459807229086506,-0.2060924256871813,0.2060924256871813
CREB5,0.01142187187928908,0.01142187187928908,0.20839708561180167,0.20839708561180167
AC104695.3,0.011327814660571539,0.011327814660571539,-0.23192944978119118,0.23192944978119118
MIR5010,-0.011312901639698291,0.011312901639698291,-0.21498512779564005,0.21498512779564005
RNU4-62P,-0.011293249305061292,0.011293249305061292,-0.18755735367699408,0.18755735367699408
XK,0.011283900088558167,0.011283900088558167,0.18896719299763906,0.18896719299763906
TSHZ2,-0.011281331384949678,0.011281331384949678,-0.2893677708295729,0.2893677708295729
FAM169A,0.011089145571202998,0.011089145571202998,0.18115399872459353,0.18115399872459353
NEK5,0.011073202551915119,0.011073202551915119,0.17293905016883787,0.17293905016883787
SNORD99,0.011017572002975685,0.011017572002975685,-0.17074154348626028,0.17074154348626028
