Feature,Coefficient_full_dataset,Abs_Coefficient_full_dataset,Coefficient_filtered_dataset,Abs_Coefficient_filtered_dataset
SRD5A1,0.09828904624906609,0.09828904624906609,0.059476957961276646,0.059476957961276646
AC018413.1,-0.0982577844325542,0.0982577844325542,-0.04076271724154741,0.04076271724154741
NRXN3,0.09803672189935397,0.09803672189935397,0.059568657587615044,0.059568657587615044
AC005479.2,-0.09802255290507714,0.09802255290507714,-0.0353531024520558,0.0353531024520558
PNPO,-0.09722655097498645,0.09722655097498645,-0.01914183651287052,0.01914183651287052
BNC2-AS1,-0.09709343784157233,0.09709343784157233,-0.025325600963479904,0.025325600963479904
AC128687.2,-0.09654719183994748,0.09654719183994748,-0.025436850176362172,0.025436850176362172
MRPS18C,-0.09606408181599405,0.09606408181599405,-0.011035104744366633,0.011035104744366633
CBLN4,0.0959224381385946,0.0959224381385946,-0.008577250965995643,0.008577250965995643
HOXB5,0.09585300650544527,0.09585300650544527,0.05505339192395098,0.05505339192395098
UBE2QL1,0.09574314611448001,0.09574314611448001,0.03634954479973504,0.03634954479973504
ITGA6-AS1,-0.09556880685179174,0.09556880685179174,-0.0029229917669668366,0.0029229917669668366
RPL39L,0.09515647377756437,0.09515647377756437,0.031750243787918665,0.031750243787918665
MIR1-1HG-AS1,-0.09466267036544408,0.09466267036544408,-0.08093237258143954,0.08093237258143954
RNF175,0.09441303265983665,0.09441303265983665,0.028638294170575573,0.028638294170575573
PYM1,0.09423078365078091,0.09423078365078091,0.04968887791666778,0.04968887791666778
METTL1,-0.09377021040334238,0.09377021040334238,-0.012444176438072276,0.012444176438072276
RARA,-0.09376560039924271,0.09376560039924271,-0.03275204864365815,0.03275204864365815
TVP23B,-0.09350275328186419,0.09350275328186419,-0.043528954884879824,0.043528954884879824
DUSP1,0.09301734934380898,0.09301734934380898,0.04904902407763079,0.04904902407763079
TDP1,0.0925407553910032,0.0925407553910032,0.047765539335503135,0.047765539335503135
RPL23AP32,0.09222163915929694,0.09222163915929694,0.021976460554429495,0.021976460554429495
HOXC-AS2,0.09204552346588793,0.09204552346588793,0.11553717385690686,0.11553717385690686
PCDHGB2,0.09148757082497601,0.09148757082497601,0.051831459680868996,0.051831459680868996
SEC11C,-0.09132458703888595,0.09132458703888595,-0.016641226115969583,0.016641226115969583
STEAP3-AS1,0.09129360117103519,0.09129360117103519,0.07637110768353511,0.07637110768353511
COL22A1,-0.08992915029922292,0.08992915029922292,-0.06823256989711307,0.06823256989711307
B4GALT7,0.08968801287333766,0.08968801287333766,0.026465461773433934,0.026465461773433934
AREG,0.08965293162150631,0.08965293162150631,0.023586808150797545,0.023586808150797545
HSPA1L,0.08895273978588009,0.08895273978588009,0.03707350898688128,0.03707350898688128
HOXC6,0.08849789348856453,0.08849789348856453,0.10546438249963191,0.10546438249963191
AC068792.1,0.08804057746111012,0.08804057746111012,0.036904930859010275,0.036904930859010275
CAMLG,-0.08674609247061191,0.08674609247061191,-0.025157253012030444,0.025157253012030444
ADI1,0.08664053160160512,0.08664053160160512,0.056222513469754584,0.056222513469754584
TLNRD1,0.08613844913033042,0.08613844913033042,0.058656078037509565,0.058656078037509565
ANAPC15,0.08590369097098348,0.08590369097098348,0.01651511542073011,0.01651511542073011
NSMCE1,-0.08538759608313413,0.08538759608313413,-0.04456349628922273,0.04456349628922273
RPL7P21,-0.08534078912370502,0.08534078912370502,-0.027350580659360926,0.027350580659360926
DAZAP2,0.08520440317037839,0.08520440317037839,0.04084006526353453,0.04084006526353453
FOSB,0.08516063719109616,0.08516063719109616,0.047072026645434216,0.047072026645434216
LRP2BP,-0.08465619603103645,0.08465619603103645,-0.02391059495545173,0.02391059495545173
TSHZ2,0.0844980049928128,0.0844980049928128,0.05211677738656673,0.05211677738656673
AC091965.4,0.08442119303176313,0.08442119303176313,0.01752232946272886,0.01752232946272886
RPLP1P6,0.08426856988485844,0.08426856988485844,0.02872653774636766,0.02872653774636766
AGAP2-AS1,-0.08392805934203494,0.08392805934203494,0.020963572547373098,0.020963572547373098
SNHG26,0.08349491085147065,0.08349491085147065,0.0004016715555349689,0.0004016715555349689
ZDHHC16,-0.08341079292474494,0.08341079292474494,-0.035784644726081005,0.035784644726081005
AC015845.2,-0.08324293176020144,0.08324293176020144,-0.03801333191995679,0.03801333191995679
POLDIP2,-0.0832344918447615,0.0832344918447615,-0.015611058000699918,0.015611058000699918
MIR5010,0.08281203476368754,0.08281203476368754,0.09588370840462478,0.09588370840462478
EGFR,-0.08270797694951372,0.08270797694951372,-0.032860334930669324,0.032860334930669324
TSPAN31,-0.08270274275908598,0.08270274275908598,-0.0052646482125422445,0.0052646482125422445
SCARB2,0.08259143505303765,0.08259143505303765,0.06301439197461751,0.06301439197461751
CCDC127,0.08218070053980477,0.08218070053980477,0.03883497254762763,0.03883497254762763
TMIGD3,-0.08174743500095293,0.08174743500095293,-0.008165758926893767,0.008165758926893767
C2,0.08086892825067636,0.08086892825067636,0.041369677403430984,0.041369677403430984
DUSP23,0.08039768037453211,0.08039768037453211,0.02819472546425211,0.02819472546425211
AC093599.2,0.08023858958828091,0.08023858958828091,0.010654082807127381,0.010654082807127381
MIR4530,0.08006249913637846,0.08006249913637846,0.03965532159450591,0.03965532159450591
BX284668.6,-0.0797144128383671,0.0797144128383671,-0.023802271084233342,0.023802271084233342
